I	Vtop
5.1017e-06	-9.9738
5.06473e-06	-9.5749
5.02466e-06	-9.176
4.98601e-06	-8.7769
4.9372e-06	-8.378
4.88778e-06	-7.9788
4.84042e-06	-7.5797
4.79939e-06	-7.1805
4.74631e-06	-6.7816
4.69676e-06	-6.3824
4.65862e-06	-5.9833
4.57573e-06	-5.5844
4.51727e-06	-5.1852
4.44664e-06	-4.7861
4.38588e-06	-4.3869
4.3023e-06	-3.9883
4.2212e-06	-3.5892
4.1496e-06	-3.19
4.04932e-06	-2.7911
3.97479e-06	-2.3923
3.86564e-06	-1.9931
3.76047e-06	-1.5939
3.65284e-06	-1.1951
3.53904e-06	-0.7959
3.40763e-06	-0.397
3.27397e-06	0.0021
3.13956e-06	0.401
2.96791e-06	0.8002
2.79957e-06	1.199
2.69708e-06	1.5979
2.60542e-06	1.9971
2.51784e-06	2.3962
2.40607e-06	2.7948
2.36823e-06	3.194
2.31683e-06	3.5931
2.24407e-06	3.992
2.2046e-06	4.3912
2.16412e-06	4.79
2.13434e-06	5.1889
2.11624e-06	5.5881
2.1041e-06	5.9872
2.09024e-06	6.3858
2.08772e-06	6.785
2.09886e-06	7.1841
2.08699e-06	7.583
2.10751e-06	7.9822
2.11693e-06	8.381
2.15504e-06	8.7799
2.16493e-06	9.1791
2.17809e-06	9.5782
2.20127e-06	9.9774
