I	Vtop
1.17188e-13	-4.9857
9.60256e-13	-4.8859
1.48974e-12	-4.7861
5.21304e-13	-4.6863
1.58726e-12	-4.5868
1.46884e-12	-4.4867
5.42207e-13	-4.3869
1.85895e-12	-4.2874
1.37828e-12	-4.1876
2.40929e-12	-4.0878
2.68097e-12	-3.9883
1.5176e-12	-3.8882
6.95491e-13	-3.7885
1.27378e-12	-3.689
2.26996e-12	-3.5892
1.23895e-12	-3.4894
2.7158e-12	-3.3896
3.63535e-12	-3.2898
8.13557e-12	-3.19
1.19879e-11	-3.0905
1.66553e-11	-2.9907
2.60389e-11	-2.8906
3.61748e-11	-2.7911
5.19535e-11	-2.6913
7.24552e-11	-2.5916
9.77846e-11	-2.4918
1.35716e-10	-2.392
1.81087e-10	-2.2922
2.40809e-10	-2.1924
2.9989e-10	-2.0929
3.64913e-10	-1.9931
4.59223e-10	-1.893
5.64776e-10	-1.7935
6.93109e-10	-1.6937
8.83845e-10	-1.5939
1.10442e-09	-1.4944
1.28451e-09	-1.3947
1.5471e-09	-1.2946
1.81118e-09	-1.1951
2.04146e-09	-1.0953
2.41388e-09	-0.9955
2.79938e-09	-0.896
3.24424e-09	-0.7959
3.64728e-09	-0.6961
4.22366e-09	-0.5966
4.7081e-09	-0.4968
5.35813e-09	-0.397
5.93596e-09	-0.2975
6.70973e-09	-0.1974
7.43922e-09	-0.0977
8.29405e-09	0.0021
9.06027e-09	0.1016
9.87325e-09	0.2014
1.07249e-08	0.3015
1.16688e-08	0.401
1.28458e-08	0.5008
1.38694e-08	0.6006
1.4812e-08	0.7001
1.60651e-08	0.8002
1.72762e-08	0.9
1.83637e-08	0.9995
1.95625e-08	1.0992
2.10151e-08	1.199
2.2412e-08	1.2985
2.38302e-08	1.3986
2.5341e-08	1.4984
2.6839e-08	1.5979
2.88581e-08	1.698
3.024e-08	1.7978
3.23017e-08	1.8973
3.42209e-08	1.9971
3.58313e-08	2.0972
3.78098e-08	2.1964
3.95629e-08	2.2964
4.19037e-08	2.3962
4.40995e-08	2.4957
4.64783e-08	2.5955
4.83896e-08	2.6953
5.08304e-08	2.7951
5.31842e-08	2.8949
5.7594e-08	2.9947
5.96581e-08	3.0942
6.37182e-08	3.194
6.6456e-08	3.2941
6.97751e-08	3.3936
7.26261e-08	3.4933
7.71082e-08	3.5931
8.09791e-08	3.6926
8.5706e-08	3.7927
8.95111e-08	3.8925
9.24967e-08	3.992
9.68204e-08	4.0918
1.01055e-07	4.1919
1.06258e-07	4.2911
1.11559e-07	4.3912
1.16253e-07	4.491
1.21149e-07	4.5905
1.26951e-07	4.6902
1.31808e-07	4.79
1.37896e-07	4.8898
1.4414e-07	4.9896
